,class,problem,code,answer,Unnamed: 0,Unnamed: 0.1
374,7,152 센티미터인 영아의 키를 민수는 155센티미터으로 어림하였고 증수는 150센티미터로 어림하였습니다. 둘 중에 누가 더 가깝게 어림하였는지 구하세요.,"a = 152
b = 155
c = 150
dicts = {'민수': abs(a - b), '중수': abs(a - c)}
y = min(dicts, key=dicts.get)
print(y)",중수,,
2712,7,"A는 한 변의 길이가 4cm인 정십각형, B는 가로가 5cm, 세로가 7cm인 직사각형, C는 한 변의 길이가 12cm인 정사각형입니다. 둘레가 가장 긴 도형을 찾으세요.","a = 4
b = 10
c = 5
d = 7
e = 12
f = 4
dict = {'A': a * b, 'B': 2 * (c + d), 'C': e * f}
y = max(dict, key=dict.get)
print(y)",C,,
123,1,"클립이 한 상자에 500개씩 들어 있다면, 14상자에 들어 있는 클립은 모두 몇 개일까요?","a = 500
b = 14
y = a * b
print(y)",7000,,
957,1,가게에서 3420원짜리 쌀가루를 한 봉지 샀습니다. 1000원짜리 지폐를 몇 개내야 살 수 있을까요?,"from math import ceil

a = 3420
b = 1000
y = ceil(a / b)
print(y)",4,,
2798,8,넓이가 49센티미터제곱인 정사각형이 있습니다. 이 정사각형의 한 모서리의 길이는 몇 센티미터 입니까?,"a = 49
y = a ** 0.5
print(y)",7.0,,
1159,4,"두 수 53333, 60022이 있습니다. 이중, 더 큰 수를 구하시오. ","a = [53333, 60022]
y = max(a)
print(y)",60022,,
1541,8,"둘레가 76cm이고, 가로의 길이가 12cm인 직사각형이 있습니다. 이 직사각형의 세로는 몇 cm입니까?","a = 4
b = 76
c = 12
y = b / 2 - c
print(y)",26.0,,
2381,1,정훈이가 잰 철사의 길이는 다라가 오른손의 네 뼘 길이였습니다. 오른손 한 뼘의 길이가 13 cm 라면 철사의 길이는 몇 cm 일까요?,"a = 4
b = 13
y = b * a
print(y)",52,,
2595,1,토끼와 사슴의 다리 수는 각각 4개입니다. 토끼와 사슴의 다리 수를 세어 보니 모두 40개였습니다. 토끼가 2 마리라면 사슴은 몇 마리입니까?,"a =4
b = 4
c = 2
y = (40 - b * c) // a
print(y)",8,,
1470,8,한변의 길이가 1.7미터인 정사각형의 넓이는 몇 제곱미터인가요?,"a = 1.7
y = a * a
print(y)",2.8899999999999997,,
662,8,반지름이 4cm인 원의 둘레는 몇cm인지 구하시오. 원주율은 3으로 계산합니다.,"a = 4
b = 3
y = a * b * 2
print(y)",24,,
2303,3,"숫자 카드 1, 2, 3, 4, 5, 6, 7, 8를 한 번씩 모두 사용하여 가장 작은 수를 만들어보시오.","a = [2, 4, 5, 6, 9, 1, 7, 8]
a.sort()
b = list(map(str, a))
y = """".join(b)
print(y)",12456789,,
312,3,"숫자 3, 5, 1, 8, 9가 있습니다. 3개의 숫자를 뽑아 한 번씩만 사용하여 세 자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수와 가장 작은 수의 합을 구하시오.","from itertools import permutations

a = ['3', '5', '1', '8', '9']
b = 3
c = list(map(''.join, permutations(a, b)))
d = int(max(c))
e = int(min(c))
y = d + e
print(y)",1120,,
2044,7,"수조에 물을 가득 채우려면 A, B, C 컵으로 각각 7번, 5번, 8번 부어야 한다고 하면, A, B, C 컵 중에서 들이가 가장 적은 것은 어느 것입니까?","a = 7
b = 5
c = 8
dict = {'A': 1/a, 'B': 1/b,'C': 1/c}
y = min(dict, key=dict.get)
print(y)",C,,
390,8,부피가 1 세제곱센티미터인 쌓기나무를 한 층에 32개씩 쌓아 부피가 1600세제곱센티미터인 직육면체를 만들었습니다. 이 직육면체의 쌓기나무는 몇 층으로 쌓여 있습니까?,"a = 1600
b = 32
y = a // b
print(y)",50,,
736,1,"길현이는 3.91 km 를 달렸고, 시현이는 길현이보다 200 m 더 적게 달렸다면, 시현이는 총 몇 m 를 달렸습니까?","a = 3.91 * 1000
b = 200
y = a - b
print(y)",3710.0,,
1380,8,"가로가 15cm, 세로가 10cm인 직사각형 4개를 가로로 붙여 만든 직사각형의 네 변의 길이의 합은 몇 cm 입니까?","a = 15
b = 10
c = 4
y = (a * c * 2) + (b * 2)
print(y)",140,,
2446,4,9의 배수를 가장 작은 수부터 차례로 쓸 때 15번째의 수는 얼마입니까?,"a = 9
b = 15
y = a
for _ in range(1, b):
      y += a
print(y)",135,,
2294,1,"어떤 자동차가 1km를 가는데 0.12L의 휘발유가 필요합니다. 이 자동차가 일정한 빠르기로 한 시간에 88km를 갈 때, 3시간 동안 가려면 휘발유는 몇 L 소모되나요?","a = 1
b = 0.12
c = 1
d = 88
e = 3
y = (b/a) * (d/c) * e
print(y)",31.679999999999996,,
2427,1,"길이가 5미터 15 센티미터, 2 미터 17 센티미터인 두 색 테이프가 있습니다. 두 테이프를 168 센티미터만큼 겹치게 이어 붙였다면, 색 테이프의 전체 길이는 몇 센티미터인지 구하세요.","a = 5 * 100 + 15
b = 2 * 100 + 17
c = 168
y = (a + b) - c
print(y)",564,,
2161,1,"떨어지는 높이의 0.5만큼 튀어 오르는 공이 있습니다. 이 공을 떨어뜨렸을 때 7.8m 튀어 올랐다면, 공을 떨어뜨린 높이는 몇 m인가요?","a = 0.5
b = 7.8
y = b / a
print(y)",15.6,,
2230,7,재승이가 가지고 있는 모자의 수는 12개입니다. 명준이는 모자를 재승이보다 10개 더 적게 가지고 있고 하경이는 명준이보다 11개 더 많이 가지고 있습니다. 모자를 가장 많이 가진 사람의 이름을 적으시오.,"a = 12
b = 10
c = 11
dicts = {'재승': a, '명준': a - b, '하경': a - b + c}
y = max(dicts, key=dicts.get)
print(y)",하경,,
2690,7,"순영이는 100 원짜리 동전을 230개 모았고, 성균이는 50 원짜리 동전을 480개 모았다면, 총 금액이 더 큰 사람은 누구입니까?","a = 100
b = 230
c = 50
d = 480
dict = {'순영': a * b, '성균': c * d}
y = max(dict, key=dict.get)
print(y)",성균,,
317,1,한 병에 10리터가 들어 있는 주스를 3명이 똑같이 나누어 마셨더니 주스가 1리터 남았습니다. 한 명이 마신 주스는 몇 리터일까요?,"a = 10
b = 3
c = 1
y = (a - c) / b
print(y)",3.0,,
1499,1,56+302을 계산하시오.,"a = 56
b = 302
y = a + b
print(y)",358,,
864,8,"밑변이 15센티미터, 높이가 6센티미터인 삼각형이 있습니다. 이 삼각형의 넓이를 구하세요.","a = 15
b = 6
y = a * b / 2
print(y)",45.0,,
403,5,"두 수A,B의 합은 12이고 차는 4입니다. 두 수 A,B의 곱을 구하시오.","a = 12
b = 4
y = ((a + b) / 2) * (a - (a + b) / 2)
print(y)",32.0,,
1190,8,원 A의 지름은 88cm이고 원 B의 지름은 원 A의 반지름과 같습니다. 두 원의 반지름의 차는 몇 cm 인지 구하시오.,"a = 88
b = a / 2
y = a / 2 - b / 2
print(y)",22.0,,
289,8,"윤서가 그린 그림의 가로는 19/26미터, 세로는 4/15미터입니다. 가로 길이와 세로 길이의 차를 소수 둘째자리까지 나타내보시오.","a = 19 / 26
b = 4 / 15
y = abs(a - b)
print(""{:.2f}"".format(y))",0.46,,
2101,1,"선미는 집에서 이모네 댁에 가는데 2130m는 걸어서, 7km 800m는 버스를 타고 갔습니다. 선미가 이모네 집까지 이동한 거리는 몇 미터입니까?","a = 2130
b = 7 * 1000 + 800
y = a + b
print(y)",9930,,
1979,1,"배구는 한 팀이 6명에서 하는데, 만약 4팀이 경기를 하고 있다면 배구 경기를 하고 있는 선수는 모두 몇 명일까요?","a = 6
b = 4
y = a * b
print(y)",24,,
1587,6,88 에서 어떤 수를 빼고 50 을 더해야 할 것을 88 에 어떤 수를 더했더니 115이 되었습니다. 바르게 계산하면 얼마입니까?,"a = 88
b = 50
c = 115
y = a - (c - a) + b
print(y)",111,,
2669,1,초콜릿 36개를 상자 4게에 똑같이 나누어 담으려고 합니다. 상자 하나에는 초콜릿 몇 개가 들어가야 합니까?,"a = 36
b = 4
y = a // b
print(y)",9,,
1008,5,곱셈식 21*4=28*A를 만족하는 A를 구하시오. ,"a = 21
b = 4
c = 28
y = (a * b) / c
print(y)",3.0,,
2552,6,어떤 수에 20을 더해야 하는데 잘못하여 뺐더니 99가 되었습니다. 바르게 계산해보시오.,"a = 20
b = 99
y = b + a + a
print(y)",139,,
1709,8,한 변의 길이가 2cm인 정사각형이 있습니다. 이 정사각형의 둘레를 구하세요.,"a = 2
b = 4
y = a * b
print(y)",8,,
359,5,7로 어떤 수를 나누었더니 몫이 3이 되었습니다. 어떤 수는 얼마입니까?,"a = 7
b = 3
y = a * b
print(y)",21,,
1267,1,"현수네 모둠은 윗몸일으키기를 156회 했고, 수진이네 모둠은 현수네 모둠보다 30회 적게 했다면, 수진이네 모둠은 윗몸일으키기를 몇 회 했을까요?","a = 156
b = 30
y = a - b
print(y)",126,,
1859,8,"가로가 세로의 3배인 직사각형의 세로가 3.97m 일 때, 넓이는 몇 제곱미터인지 소수점 둘째자리까지 구하시오.","a = 3
b = 4
c = 3.97
y = c * (c * a)
print(""{:.2f}"".format(y))",47.28,,
1945,1,620원에 판매하는 아이스크림을 50개 사려고 합니다. 필요한 돈은 모두 얼마인지 구하세요.,"a = 620
b = 50
y = a * b
print(y)",31000,,
582,3,"숫자카드 2, 5, 6, 8가 있습니다. 이중에서, 서로 다른 숫자 3개를 뽑아 만들 수 있는 세 자리 수 중에서 가장 작은 수를 쓰시오.","from itertools import permutations

a = ['2', '5', '6', '8']
b = 3
c = list(map(''.join, permutations(a, b)))
c.sort()
for i in c:
    if i[0] != '0':
        y = i
        break
print(y)",256,,
2439,8,한 변이 12센티미터인 정사각형이 있습니다. 이 정사각형의 네변의 길이의 합을 구하시오,"a = 12
b = 4
y = a * b
print(y)",48,,
1341,3,"숫자 카드 1, 3, 5, 7, 9 중에서, 숫자 카드를 모두 한 번씩만 사용한다면 만들 수 있는 가장 큰 수는 무엇인가요?","a = [1, 3, 5, 7, 9]
a.sort(reverse=True)
b = list(map(str, a))
y = """".join(b)
print(y)",97531,,
693,8,"가로가 5m, 세로가 400cm인 직사각형이 있습니다. 이 직사각형과 밑변이 10m, 높이가 3m인 삼각형의 넓이의 차는 몇 cm²인지 구하시오.","a = 5 * 100
b = 400
c = 10 * 100
d = 3 * 100
y = abs(a * b - c * d / 2)
print(y)",50000.0,,
1970,4,"12/15보다 2/5만큼 더 작은 수의 분모가 15일 때, 분모와 분자의 합을 구하세요.","a = 12/15
b = 2/5
c = a - b
d = 15
e = c * d
y = d + e
print(y)",21.0,,
1545,1,35÷7＋(6＋8)×3을 계산하세요.,"y = 35 / 7 + (6 + 8) * 3
print(y)",47.0,,
1180,5,"다음 식 88/A=11 , 72/A=B 이 있습니다. 이를 만족하는 A와 B의 합을 구하시오.","a = 88
b = 11
c = 72
y = (a / b) + c / (a / b)
print(y)",17.0,,
1607,8,"가로가 22cm, 둘레가 56cm인 직사각형이 있습니다. 이 직사각형의 넓이는 몇 cm²인지 구하세요.","a = 22
b = 56
y = a * ((b - 2 * a) / 2)
print(y)",132.0,,
887,3,"4장의 수 카드 8, 2, 3, 4 가 있습니다. 이를, 한 번씩만 사용하여 만든 2개의 두 자리 수를 곱할 때, 가장 작은 곱을 계산하세요.","from itertools import permutations

a = ['8', '2', '3', '4']
b = list(map(''.join, permutations(a)))
c = []
for i in b:
    d = int(i[:2])
    e = int(i[2:])
    c.append(d * e)
y = min(c)
print(y)",912,,
2362,8,"길이가 99센티미터인 실을 사용하여 가장 큰 정사각형을 만들고 남은 실의 길이는 몇 센티미터 입니까?(단, 실의 길이는 항상 자연수 센티미터 단위로 한다.)","a = 99
b = 4
c = a // b
y = a - (b * c)
print(y)",3,,
113,8,"가로의 길이가 13센티미터, 세로의 길이가 15센티미터인 직사각형이 있습니다. 이 직사각형의 넓이는 몇 센티미터²일까요?","a = 13
b = 15
y = a * b
print(y)",195,,
167,1,다희는 150쪽인 만화책을 매일 15쪽씩 7일 동안 읽었습니다. 만화책을 모두 읽으려면 앞으로 몇 쪽을 더 읽어야 하나요?,"a = 150
b = 15
c = 7
y = a - b * c
print(y)",45,,
2057,8,한 변의 길이가 13cm인 정사각형이 있습니다. 이 정사각형의 둘레는 몇cm입니까?,"a = 13
b = 4
y = a * b
print(y)",52,,
2806,8,둘레가 60센티미터인 정육각형과 둘레가 55센티미터인 정오각형의 한 변의 길이의 차를 적으세요.,"a = 60
b = 6
c = 55
d = 5
y = abs(a / b - c / d)
print(y)",1.0,,
1361,1,"우유를 지성이는 11/25리터 마셨고, 영표는 0.60리터 마셨습니다. 두 사람이 마신 우유의 양의 차는 몇 리터입니까?","a = 11/25
b = 0.60
y = abs(a - b)
print(y)",0.15999999999999998,,
2075,1,파래 한 쌈은 32개입니다. 파래 한 쌈을 건조대 모퉁이 8개에 똑같이 나누어 꽂으려고 합니다. 건조대 한 개에 파래를 몇 개씩 꽂아야하는지 구하여 보시오.,"a = 32
b = 8
y = a / b
print(y)",4.0,,
61,1,수효네 제과점에서 오늘 크림빵을 500개 만들었습니다. 이 크림빵을 25개까지 넣을 수 있는 상자에 모두 넣을 때 필요한 상자는 최소 몇 개일까?,"import math
a = 500
b = 25
y = math.ceil(a / b)
print(y)",20,,
691,8,"가로가 8센티미터, 세로가 15센티미터인 직사각형에서 가로와 세로의 차는 몇 센티미터 입니까?","a = 8
b = 15
y = abs(b - a)
print(y)",7,,
2023,4,"들이 6리터, 6리터 600밀리리터, 6050밀리리터가 있습니다. 가장 많은 들이와 가장 적은 들이의 합은 몇 밀리리터인가요?","a = [6000, 6600, 6050]
y = max(a) + min(a)
print(y)",12600,,
1933,8,"가로가 세로의 6배인 직사각형의 세로가 0.23미터 일 때, 넓이는 몇 제곱미터인지 소수점 둘째자리까지 구하시오","a = 6
b = 4
c = 0.23
y = c * (c * a)
print(""{:.2f}"".format(y))",0.32,,
2366,4,"숫자 카드 54, 23, 67, 3이 있을 때 가장 큰 수를 가장 작은 수로 나누었을 때 나머지를 구해 보세요.","a = [54, 23, 67, 3]
y = max(a) % min(a)
print(y)",1,,
1436,8,한변의 길이가 17센티미터인 마름모의 둘레는 몇 센티미터인지 구하시오.,"a = 17
y = a * 4
print(y)",68,,
996,7,연희는 500원짜리 사인펜 4자루와 850원짜리 색연필 4자루를 샀습니다. 사인펜의 총 금액과 색연필의 총 금액 중 더 큰 것은 무엇일까요?,"a = 500
b = 4
c = 850
d = 4
dicts = {'사인펜': a * b, '색연필': c * d}
y = max(dicts, key=dicts.get)
print(y)",색연필,,
2178,8,넓이가 49센티미터²인 정사각형의 둘레는 몇 센티미터인가요?,"a = 49
b = 4
y = a ** 0.5 * b
print(y)",28.0,,
1808,8,"가로가 3cm , 세로가 5cm인 직사각형과 네 변의 길이의 합이 같은 정사각형의 한 변은 몇cm 인지 구하시오","a = 3
b = 5
c = 4
y = (a + b) * 2 / c
print(y)",4.0,,
2063,7,"기수의 실의 길이는 20센티미터인 끈 4개의 길이와 같고, 보라의 실의 길이는 90센티미터입니다. 두 사람의 실의 길이의 차를 구하시오.","a = 20
b = 4
c = 90
y = abs(a * b - c)
print(y)",10,,
983,1,"집에서 도서관까지의 거리는 55/23 km이고, 은행까지의 거리는 3.15 km라고 한다면, 은행은 도서관보다 집에서 얼마나 멀까요?","a = 55/23
b = 3.15
y = b - a
print(y)",0.758695652173913,,
1065,1,"승객을 태운 지하철이  목적지를 향해 가고 있습니다. 중간에 있는 역에서 250명이 내리고 105 명이 더 탔습니다. 목적지에서 150명이 내렸다면, 기차에 처음 타고 있었던 사람은 몇 명일까요?","a = 250
b = 105
c = 150
y = c - b + a
print(y)",295,,
164,7,"마트에서 여름철 생활용품을 팔고 있습니다. 부채가 1560개, 전기 모기향이 1200개, 모기장이 1430개 있습니다. 부채, 전기 모기향, 모기장 중 개수가 가장 많은 것은 무엇입니까?","a = 1560
b = 1200
c = 1430
dicts = {'부채': a, '전기 모기향': b, '모기장': c}
y = max(dicts, key=dicts.get)
print(y)",부채,,
2454,7,어느 초콜릿 가게에서는 초콜릿을 어제부터 오늘까지 900개 팔았습니다. 오늘은 초콜릿은 451개 팔았다고 할 때 어제와 오늘 중 초콜릿을 더 많이 판 날은 언제인지 구하세요.,"a = 900
b = 451
dicts = {""오늘"": b, ""어제"": a - b}
y = max(dicts, key=dicts.get)
print(y)",오늘,,
968,1,3.4보다 7.2 큰 수는 얼마인지 구해보시오.,"a = 3.4
b = 7.2
y = a + b
print(y)",10.6,,
550,8,"둘레가 56센티미터이고, 가로의 길이가 11센티미터인 직사각형이 있습니다. 이 직사각형의 세로는 몇 센티미터입니까?","a = 4
b = 56
c = 11
y = b / 2 - c
print(y)",17.0,,
2580,6,어떤 수를 9로 나누어야 할 것을 실수로 9를 더했더니 90이 되었습니다. 바르게 계산하면 결과는 얼마인지 구하시오.,"a = 9
b = 9
c = 90
y = (c - b) / a 
print(y)",9.0,,
2164,8,한 변의 길이가 12cm인 마름모의 둘레의 길이를 구하시오.,"a = 12
b = 4
y = a * b
print(y)",48,,
545,8,한 변의 길이가 8cm인 정사각형 모양의 종이 5장을 3cm 만큼 겹치도록 이어 붙였습니다. 이어 붙인 직사각형 모양의 종이의 네 변의 길이의 합은 몇cm 입니까?,"a = 8
b = 4
c = 5
d = 3
y = ((a * c) - (c - 1) * d + a) * 2
print(y)",72,,
1719,3,"숫자 카드 1, 3, 5, 7, 9를 모두 한 번씩만 사용하여 만들 수 있는 가장 작은 다섯 자리 수를 구하시오.","a = [1, 3, 5, 7, 9]
a.sort()
b = list(map(str, a))
y = """".join(b)
print(y)",13579,,
1502,8,"가로가 5cm, 둘레가 22cm인 직사각형이 있습니다. 이 직사각형의 넓이가 몇 cm²인지 구하세요.","a = 5
b = 22
y = a * ((b - 2 * a) / 2)
print(y)",30.0,,
2594,1,"두식이의 몸무게는 56.5kg이고, 강아지의 무게는 3.6kg입니다. 두식이의 몸무게는 강아지의 무게의 몇 배일까요?","a = 56.5
b = 3.6
y = a / b
print(y)",15.694444444444445,,
1485,1,훈이는 한 상자에 60개씩 들어 있는 초콜릿을 3상자 샀습니다. 훈이가 가진 초콜릿의 개수는?,"a = 60
b = 3
y = a * b
print(y)",180,,
401,1,수호는 시장에서 2.4kg짜리 수박과 1.5kg짜리 호박을 샀습니다. 수호가 산 수박과 호박의 무게를 합하면 몇 kg인가요?,"a = 2.4
b = 1.5
y = a + b
print(y)",3.9,,
1523,1,"마카롱 30개를를 4사람에게 5개씩 나누어 주려고 한다면, 마카롱이 몇 개 남는지 구하시오.","a = 30
b = 4
c = 5
y = a - b * c
print(y)",10,,
266,4,분모가 16인 진분수 중에서 기약분수는 경우는 모두 몇 가지일 지 구해보세요.,"import math
a = 16
y = 0
for i in range(1, a):
    if math.gcd(i, a) == 1:
        y = y + 1
print(y)",8,,
1589,8,"수연이는 가로가 0.42미터 이고, 세로가 0.67미터 인 직사각형 모양의 수학 공책을 가지고 있습니다. 수연이의 수학 공책의 넓이는 몇 제곱미터인지 소수점 둘째자리까지 반올림해서 구하시오","a = 0.42
b = 0.67
y = a * b
print(""{:.2f}"".format(y))",0.28,,
1118,1,"어제는 비가 0.1L 내렸고 오늘은 어제보다 0.5L 더 많이 내렸다면, 어제와 오늘 내린 비의 양은 모두 몇 L 입니까?","a = 0.1
b = 0.5
y = a + (a + b)
print(y)",0.7,,
1058,8,한 변의 길이가 10센티미터인 정칠각형과 둘레가 같은 정십각형의 한 변의 길이는 몇 센티미터인지 구하시오.,"a = 10
b = 7
c = 10
y = a * b / c
print(y)",7.0,,
605,1,16 x 34을 계산하시오.,"a = 16
b = 34
y = a * b
print(y)",544,,
1288,3,3/20과 크기가 같은 분수 중에서 분모가 10보다 크고 100보다 작은 분수는 모두 몇 개인가요? ,"import math

a = 3
b = 20
c = 10
d = 100
e = math.gcd(a,b)
y = math.ceil(d / (b / e)) - c // (b / e) - 1
print(y)",4.0,,
1009,1,서울에서 부여까지는 254km입니다. 한 시간에 39km를 가는 자동차로 서울에서 출발하여 부여까지 가려고 합니다. 4시간을 갔다면 남은 거리는 몇 km일까요?,"a = 254
b = 39
c = 4
y = a - (b * c)
print(y)",98,,
2345,5,213은 A보다 13 큰 수입니다. 71은 30보다 B만큼 큰 수입니다. A와 B의 합을 구하시오.,"a = 213
b = 13
c = 71
d = 30
y = (a - b) + (c - d)
print(y)",241,,
1949,1,"한 번에 30명씩 탈 수 있는 케이블카가 있는데, 이 케이블카가 8번 운행하는 동안 모두 몇 명이 탈 수 있는지 구해 보시오.","a = 30
b = 8
y = a * b
print(y)",240,,
708,1,0.7 x 0.4 의 값을 구하시오.,"a = 0.7
b = 0.4
y = a * b
print(y)",0.27999999999999997,,
1178,8,"가로가 12cm, 세로가 18cm인 직사각형이 있습니다. 이 직사각형의 둘레를 구하세요.","a = 12
b = 18
y = 2 * (a + b)
print(y)",60,,
1658,5,"10 이 9개, 1 이 2개, 0.1 이 3개, 0.01 이 1개인 수는 몇인지 구하시오","a = 10 * 9
b = 1 * 2
c = 0.1 * 3
d = 0.01 * 1
y = a + b + c + d
print(y)",92.31,,
2530,1,달걀이 한 판에 30개씩 85판이 있습니다. 달걀은 모두 몇 개 있을까요?,"a = 30
b = 85
y = a * b
print(y)",2550,,
2343,1,수지는 가지고 있던 구슬 97개 중에서 36개를 광희에게 주었습니다. 수지에게 남은 구슬은 몇 개인가요?,"a = 97
b = 36
y = a - b
print(y)",61,,
1013,8,"동우는 지름이 80cm 인 굴렁쇠를 일직선으로 3바퀴 굴렸더니 753.6cm 왔습니다. 그렇다면, 굴렁쇠의 둘레는 지름의 몇 배입니까?","a = 753.6
b = 3
c = 80
d = a / b
y = d / c
print(y)",3.14,,
2777,1,냉장고에 우유가 3L 있었습니다. 은채는 오늘 우유 전체의 1/3를 마셨습니다. 은채가 마신 우유의 양은 몇 L 일지 계산해보시오.,"a = 3
b = 1/3
y = a * b
print(y)",1.0,,
1079,5,어떤 수를 70으로 나누었을 때 나올 수 있는 나머지 중에서 가장 큰 수를 17로 나누었을때 나머지를 구하시오.,"a = 70
b = a - 1
c = 17
y = b % c
print(y)",1,,
1835,1,솔빈이는 36일동안 31500원을 모으려고 합니다. 하루에 평균 얼마를 모아야 하나요?,"a = 36
b = 31500
y = b / a
print(y)",875.0,,
1868,8,"윗변이 100미터, 밑변이 200미터, 높이가 300미터인 사다리꼴 모양의 땅을 세 사람에게 똑같이 나누어 주려고 할 때, 세 명에게 나누어 줄 수 있는 땅의 넓이는 몇 ㎡인지 구하시오.","a = 100
b = 200
c = 300
d = (a + b) * c / 2
e = 3
y = d / e
print(y)",15000.0,,
2588,3,"20부터 60까지 자연수를 쓸 때, 숫자 0은 모두 몇 번 써야 합니까?","a = 20
b = 60
c = '0'
y = 0
for i in range(a, b + 1):
    y += str(i).count(c)
print(y)",5,,
1345,8,한 변의 길이가 12cm인 정육각형이 있습니다. 이 정육각형의 둘레는 몇 cm인가요?,"a = 12
b = 6
y = a * b
print(y)",72,,
1866,1,어느 문구점에서는 사용한 돈의 0.02배만큼 포인트 점수를 적립해 줍니다. 문수가 문구점에서 8530원을 사용했다면 문수가 얻은 포인트 점수는 몇 점이 될까요?,"a = 0.02
b = 8530
y = a * b
print(y)",170.6,,
1511,8,삼각형의 한 각의 크기가 75°일 때 나머지 두각의 합을 구하시오.,"a = 180
b = 75
y = a - b
print(y)",105,,
1434,8,한 변의 길이가 6.8cm인 정팔각형과 둘레가 같은 정사각형의 한 변의 길이는 몇 cm인가요?,"a = 6.8
b = 8
c = 4
y = a * b / c
print(y)",13.6,,
285,4,"분수 4/11, 2/5, 3/8가 있습니다. 이중 큰 수와 작은 수의 차를 구해서 소수 둘째자리까지 나타내시오.","a = 4 / 11
b = 2 / 5
c = 3 / 8
d = [a, b, c]
y = max(d) - min(d)
print(""{:.2f}"".format(y))",0.04,,
2283,5,어떤 두 수의 최대공약수가 50일 때 이 두 수의 공약수들의 합을 구해 보세요.,"a = 50
y = sum(i for i in range(1, a + 1) if a % i == 0)
print(y)",93,,
591,5,"2와 8의 곱에서 어떤 수와 17의 합을 2로 나눈 몫을 빼면 1이라면, 어떤 수는 무엇인가요?","a = 2
b = 8
c = 17
d = 2
e = 1
y = (a * b - e) * d - c
print(y)",13,,
796,1,볼펜 56자루를 한 명에게 7 자루씩 주려고 합니다. 몇 명에게 나누어 줄 수 있을까요?,"a = 56
b = 7
y = a // b
print(y)",8,,
1274,8,가로가 12cm이고 세로는 가로보다 5cm 더 긴 직사각형의 둘레는 몇 cm일까요?,"a = 12
b = 5
y = (a + a + b) * 2
print(y)",58,,
72,1,"색 테이프를 10명이 똑같이 3.3미터씩 남김없이 나누어 가졌다고 하면, 처음에 있던 색 테이프는 몇 미터일까요?","a = 10
b = 3.3
y = a * b
print(y)",33.0,,
2727,8,반지름이 6cm인 원을 36cm길이가 인 선분 AB 위에 원의 중심이 놓이도록 겹치지 않게 그리려고 합니다. 원을 몇 개까지 그릴 수 있습니까?,"a = 6
b = 2
c = 36
y = c // (a * b)
print(y)",3,,
1870,4,10보다 크고 60보다 작은 자연수 중에서 3의 배수는 모두 몇 개인지 찾아보시오.,"a = 10
b = 60
c = 3
y = 0
for i in range(a + 1, b):
    if i % c == 0:
        y += 1
print(y)",16,,
2225,8,넓이가 56cm²이고 밑변의 길이가 4cm인 직각삼각형의 높이는 몇 cm인지 구하세요.,"a = 56
b = 4
y = a / b * 2
print(y)",28.0,,
757,8,한 변의 길이가 6센티미터인 평행사변형과 한 변의 길이가 5센티미터인 정팔각형의 둘레가 같습니다. 이 평행사변형의 다른 한 변의 길이를 구하세요.,"a = 6
b = 5
c = 8
y = (b * c - a * 2) / 2
print(y)",14.0,,
362,4,"숫자 66, 55, 44, 33 가 있습니다. 이중에서, 가장 큰 수와 가장 작은 수의 곱을 구하시오.","a = [66, 55, 44, 33]
y = max(a) * min(a)
print(y)",2178,,
986,7,"자동차 공장에서 1월에는 자동차 628대, 2월에는 자동차 555대를 만들었다면, 1월과 2월 중 몇 월에 자동차를 더 많이 만들었는지 구하세요.","a = 628
b = 555
dicts = {""1"": a, ""2"": b}
y = max(dicts, key=dicts.get)
print(y)",1,,
1460,8,팔각형과 십각형의 변의 개수의 합을 구하시오.,"a = 8
b = 10
y = a + b
print(y)",18,,
1619,8,"원 A의 지름은 32센티미터이고 원 B의 지름은 원 A의 반지름과 같다면, 두 원의 반지름의 합은 몇 센티미터 입니까?","a = 32
b = a / 2
y = a / 2 + b / 2
print(y)",24.0,,
2015,1,석민이는 훌라후프를 하루에 95 회씩 하려고 합니다. 석민이가 25일 동안 하는 훌라후프는 모두 몇 회인지 구하시오.,"a = 95
b = 25
y = a * b
print(y)",2375,,
2360,8,한 변의 길이가 17미터인 정육각형이 있습니다. 이 정육각형의 둘레는 몇미터입니까?,"a = 17
b = 6
y = a * b
print(y)",102,,
1784,1,"도훈이는 매일 400mL 씩 7 일 동안 우유를 마셨고, 정은이는 도훈이가 마신 우유의 3 배보다 2400mL 더 많이 마셨습니다. 상희이는 매일 1200mL 씩 2 주 동안 우유를 마셨습니다. 상희가 마신 우유는 도훈이와 정은이가 마신 우유의 합보다 얼마나 더 많을까요?","a = 400
b = 7
c = 3
d = 2400
e = 1200
f = 14
y = (e * f) - ((a * b) + (a * b * c + 2400))
print(y)",3200,,
1694,8,"진윤이는 넓이가 300cm²인 도화지로 가족 신문을 만들었습니다. 도화지 넓이의 3/5에 가족 소개란을 만들었고, 가족 소개란의 1/3에는 가족 사진을 붙였습니다. 가족 사진을 붙인 곳의 넓이는 몇 cm²인가요?","a = 180
b = 3 / 5
c = 1 / 3
y = a * b * c
print(y)",36.0,,
1033,8,한변의 길이가 5센티미터인 정육각형이 있습니다. 이 정육각형의 둘레를 구하시오.,"a = 5
b = 6
y = a * b
print(y)",30,,
