,class,problem,code,answer
947,5,"두 수A,B의 합은 34이고 차는 4입니다. 두 수 A,B의 곱을 구하시오.","a = 34
b = 4
y = ((a + b) / 2) * (a - ((a + b) / 2))
print(y)",285.0
718,8,"한 대각선의 길이가 80cm, 다른 대각선의 길이가 60cm인 마름모가 있습니다. 이 마름모의 넓이는 몇 cm²일까요?","a = 80
b = 60
y = a * b / 2
print(y)",2400.0
2341,1,"효민이는 훌라후프를 어제는 87번, 오늘은 어제보다 23번 더 많이 했습니다. 오늘 효민이는 훌라후프를 몇 번 했을까요?","a = 87
b = 23
y = a + b
print(y)",110
1156,8,"반지름이 20cm인 원 위의 네 점을 이어 마름모를 그릴 때, 그린 마름모의 넓이를 구하세요.","a = 20
y = 2 * a * 2 * a / 2
print(y)",800.0
634,5,120과 210을 어떤 수로 나누면 두 수 모두 나누어떨어집니다. 어떤 수 중에서 가장 큰 수는 얼마인가요?,"import math

a = 120
b = 210
y = math.gcd(a, b)
print(y)",30
1748,1,콩순이는 들이가 53l 200ml인 빈 독에 물을 가득 채워야만 잔치에 갈 수 있습니다. 하지만 독 아래에 구멍이 뚫려서 콩순이가 독에 물을 36l 800ml 부었는데도 물은 채워지지 않고 계속 빈 독이었습니다. 이 상황을 지켜보던 두꺼비가 독 안으로 들어가서 구멍을 막아 주어 독에 물을 가득 채울 수 있었습니다. 콩순이가 독에 부은 물은 총 몇 ml인지 계산해보시오.,"a = 53200
b = 36800
y = a + b
print(y)",90000
64,8,"가로가 12cm, 세로가 7cm 인 직사각형의 네 변의 길이의 합은 몇cm 입니까?","a = 12
b = 7
y = (a + b) * 2
print(y)",38
405,1,"사슴의 다리는 4개, 말의 다리는 4개입니다. 농장에는 사슴이 40 마리, 말이 35 마리 있습니다. 농장에 있는 사슴과 말의 다리는 모두 몇 개 일까요?","a = 4
b = 4
c = 40
d = 35
y = a * c + b * d
print(y)",300
2697,1,수용이네 반 학생 35명을 5명씩 한 모둠으로 나누려고 합니다. 몇 모둠으로 나눌 수 있는지 구하시오.,"a = 35
b = 5
y = a // b
print(y)",7
548,4,"연필의 무게는 구슬 5개, 지우개의 무게는 구슬 1개, 볼펜의 무게는 구슬 6개, 필통의 무게는 구슬 20개의 무게와 같을때, 가장 무거운 물건의 무게는 가장 가벼운 물건의 무게의 몇 배입니까?","a = 5
b = 1
c = 6
d = 20
e = [a, b, c, d]
y = max(e) / min(e)
print(y)",20.0
2432,3,다음 식 123*A < 1000 이 있습니다. 이를 만족하는 한 자리 수A 중에서 가장 큰 수를 구해 보시오.,"a = 123
b = 1000
y = 0
for i in range(1,9+1) :
    if i < b / a  :
        y = i
print(y)",8
1928,3,"4장의 카드 3, 1, 7, 9를 한 번씩 모두 사용하여 만들 수 있는 가장 큰 소수 세자리수와 가장 작은 소수 세자리수의 합은 얼마인가요?","from itertools import permutations

a = ['3', '1', '7', '9']
b = int(max(map(''.join, permutations(a))))
c = int(min(map(''.join, permutations(a))))
y = (b + c) * (0.1 ** 3)
print(y)",11.110000000000003
2447,7,꽃밭에서 성수네 집까지는 9 미터 90 센티미터이고 민 욱이네 집까지는 999 센티미터입니다. 꽃밭에서 누구네 집이 더 가까운가요?,"a = (9 * 100) + 90
b = 999
dicts = {'성수': a, '민욱': b}
y = min(dicts, key=dicts.get)
print(y)",성수
891,1,똑같은 우유병 27개를 담은 상자의 무게가 74.6kg입니다. 빈 상자의 무게가 2.2kg일 때 우유병 한 개의 무게는 몇 kg일까요?,"a = 27
b = 74.6
c = 2.2
y = (b - c) / a
print(y)",2.681481481481481
529,8,한 변의 길이가 11센티미터인 정사각형 모양의 액자의 둘레는 몇 센티미터인가요?,"a = 11
b = 4
y = a * b
print(y)",44
2250,1,"미진이는 888미터를 달렸고, 주희는 미진이보다 222미터를 적게 달렸습니다. 병호는 주희보다 11미터를 적게 달렸다면 병호가 달린 거리는 몇 미터인지 구하시오.","a = 888
b = a - 222
y = b - 11
print(y)",655
1943,1,"줄자 두개가 있습니다. 줄자 하나의 길이는 1 m 56 cm이고, 다른 줄자의 길이는 2 m 42 cm입니다. 두 끈의 길이 의 합은 몇 cm인지 구하세요.","a = (100 * 1) + 56
b = (100 * 2) + 42
y = a + b
print(y)",398
888,1,연필 32개를 한 명에게 8개씩 나누어 주려고 합니다. 몇 명에게 나누어 줄 수 있는지 구해보시오.,"a = 32
b = 8
y = a // b
print(y)",4
2365,8,"가로의 길이가 5센티미터, 세로의 길이가 4센티미터인 직사각형이 있습니다. 이 직사각형의 넓이를 구하시오.","a = 5
b = 4
y = a * b
print(y)",20
1679,1,음료수 15L를 5명이 똑같이 나누어 마셨습니다. 한 명이 마신 음료수는 몇 L일까요?,"a = 15
b = 5
y = a / b
print(y)",3.0
2539,8,"한 변의 길이가 12cm인 평행사변형과 한 변의 길이가 24cm인 정팔각형의 둘레가 같다고 할때, 이 평행사변형의 다른 한 변의 길이를 구하세요.","a = 12
b = 24
c = 8
y = (b * c - a * 2) / 2
print(y)",84.0
754,5,어떤 수를 8로 나누었더니 5로 나누어 떨어졌습니다. 어떤 수를 4로 나눈 몫은 얼마입니까?,"a = 8
b = 5
c = 4
y = a * b // c
print(y)",10
2382,1,"식용유 100리터를 한 병에 2리터 씩 남김없이 담으려고 한다면, 병은 모두 몇 개가 필요합니까?","from math import ceil

a = 100
b = 2
y = ceil(a / b)
print(y)",50
879,7,"우유가 12리터 있는데, 수연이가 전체의 2/5를 마셨고, 현우가 전체의 1/4를 마셨습니다. 수연이와 현우중에서 누가 우유를 더 많이 마셨습니까?","a = 12
b = 2/5
c = 1/4
dicts = {""수연"": a * b, ""현우"": a * c}
y = max(dicts, key=dicts.get)
print(y)",수연
2401,6,어떤 수에서 10을 뺐더니 50이 되었습니다. 어떤 수에 3을 곱한 값을 구하시오.,"a = 10
b = 50
c = 3
y = (b + a) * c
print(y)",180
2810,1,소민이는 600 원짜리 볼펜 5 자루와 430 원짜리 지우개 6 개를 사고 8000 원을 냈습니다. 소민이가 받을 거스름돈은 얼마인지 답을 작성하시오.,"a = 600
b = 5
c = 430
d = 6
e = 8000
y = e - (a * b + c * d)
print(y)",2420
375,1,(75＋5)÷2＋6×3을 계산한 값을 구해보세요.,"y = (75 + 5) / 2 + 6 * 3
print(y)",58.0
889,5,다음 식 65/5=A 과 5*A=65 이 있습니다. 이를 만족하는 A를 구하시오. ,"a = 65
b = 5
y = a / b
print(y)",13.0
2557,6,"어떤 수의 1/6이 30이라면, 어떤 수의 1/30는 얼마입니까?","a = 1 / 6
b = 30
c = 1 / 30
d = b / a
y = d * c
print(y)",6.0
540,8,한 변이 12센티미터인 정칠각형이 있습니다. 이 정칠각형의 둘레는 몇 센티미터일까요?,"a = 12
b = 7
y = a * b
print(y)",84
1616,7,"우유를 주영이는 8/17리터, 경석이는 4/10리터 마셨습니다. 주영이와 경석이 중 누가 우유를 더 많이 마셨나요?","a = 8 / 17
b = 4 / 10
dict = {'주영': a, '경석': b}
y = max(dict, key=dict.get)
print(y)",주영
700,1,"한 직선에 점 A, B, C, D가 순서대로 있고,  A- C의 거리는 222미터, C - D의 거리는 176미터, B - D의 거리는 300미터라고 합니다. 그렇다면, A - B의 거리는 얼마일까요?","a = 222
b = 176
c = 300
y = a + b - c
print(y)",98
2017,8,"둘레가 60센티미터인 정사각형과 가로가 23센티미터이고, 둘레가 80센티미터인 직사각형이 있습니다. 두 도형의 넓이의 차는 몇 센티미터²인지 구하시오.","a = 60
b = 4
c = 23
d = 80
y = (c * (d / 2 - c)) - (a / b) ** 2
print(y)",166.0
2090,5,"56에서 어떤 수를 빼고, 6으로 나누었더니 9로 나누어 떨어졌습니다. 어떤 수를 구하세요.","a = 56
b = 6
c = 9
y = a - (b * c)
print(y)",2
1942,1,한 상자에 10개씩 들어 있는 초콜릿이 4상자 있습니다. 이 초콜릿를 8명에게 똑같이 나누어 주려고 하면 한 명에게 몇 개씩 나누어 주면 됩니까?,"a = 10
b = 4
c = 8
y = a * b // c
print(y)",5
849,6,어떤 수를 3으로 나누어야 할 것을 잘못하여 8로 나누었더니 9가 되었습니다. 바르게 계산해보시오.,"a = 3
b = 8
c = 9
d = b * c
y = d / a
print(y)",24.0
1036,8,한 변의 길이가 12센티미터인 정구각형의 둘레는 몇 센티미터인가요?,"a = 12
b = 9
y = a * b
print(y)",108
2182,8,"가로의 길이가 13cm, 세로의 길이가 25cm인 직사각형이 있습니다. 이 직사각형의 넓이를 구하시오.","a = 13
b = 25
y = a * b
print(y)",325
1507,3,"숫자 카드 2, 3, 7 를 한 번씩만 사용하여 세 자리 수를 만들려고 합니다. 만들 수 있는 가장 큰 수와 가장 작은 수의 합을 구해 보시오.","from itertools import permutations

a = ['2', '3', '7']
b = int(max(map(''.join, permutations(a, 3))))
c = int(min(map(''.join, permutations(a, 3))))
y = b + c
print(y)",969
322,1,분홍 쪽지 34 장과 빨간 쪽지 14 장이 있습니다. 이 쪽지를 3명이 똑같이 나누어 가지려면 한 명이 몇 장씩 가지면 됩니까?,"a = 34
b = 14
c = 3
y = (a + b) // c
print(y)",16
469,4,"5장의 숫자 카드 5, 8, 2, 3, 6를 한 번씩 사용하여 백의 자리 숫자가 6인 가장 큰 다섯 자리 수를 만들어 보시오.","a = [5,8,2,3,6]
b = 6
a.sort()
a.remove(b)
y = 10000*a[3] + 1000*a[2]+ 100*b + 10*a[1] + a[0]
print(y)",85632
486,8,한변의 길이가 1.55미터인 정사각형의 넓이는 몇 제곱미터인가요?,"a = 1.55
y = a * a
print(y)",2.4025000000000003
2177,1,"철사 한 개의 길이는 0.23미터라면, 철사 12개의 길이의 합은 몇 미터입니까?","a = 0.23
b = 12
y = a * b
print(y)",2.7600000000000002
1147,1,"길준이는 3.21 km를 달렸고, 시연이는 길준이보다 320미터 더 적게 달렸다면 시연이는 몇 km 를 달렸습니까?","a = 3.21
b = 0.32
y = a - b
print(y)",2.89
245,1,지훈이네 반 38명의 학생들은 5명씩 한 모둠을 만들어 하천 주변에서 쓰레기 줍기를 하였습니다.한 모둠 당 쓰레기봉투를 4개씩 받았다면 나누어 준 쓰레기봉투는 모두 몇 개 일까요?,"a = 38
b = 5
c = 4
y = a // b * c
print(y)",28
204,1,13 x 5.1 과 8 x 7.3  중 더 큰 값의 계산 결과를 구하시오.,"a = 13
b = 5.1
c = 8
d = 7.3
e = a * b
f = c * d
y = max(e, f)
print(y)",66.3
447,8,오각기둥의 모서리의 수와 팔각뿔의 모서리의 수의 차는 몇 개인가요?,"a = 5
b = 8
c = a * 3
d = b * 2
y = abs(c - d)
print(y)",1
2571,7,"과수원에서 사과와 배를 재배했습니다. 사과를 한 상자에 25개씩 담아 30상자에 담았고, 배를 한 상자에 32개씩 담아 24상자에 넣었습니다. 사과와 배 중 무엇이 더 많을까요?","a = 25
b = 30
c = 32
d = 24
dicts = {'사과': a * b, '배': c * d}
y = max(dicts, key=dicts.get) 
print(y)",배
2292,8,둘레가 124cm인 정사각형이 있습니다. 이 정사각형의 한 변의 길이는 몇 cm인가요?,"a = 124
b = 4
y = a / b
print(y)",31.0
1572,1,똑같은 바게트 6개가 들어 있는 상자의 무게를 재어 보니 420g 이었습니다. 여기에 똑같은 바게트 2 개를 더 넣어 무게를 재어 보니 500g 이었습니다. 상자만의 무게는 몇 g 일까요?,"a = 6
b = 420
c = 2
d = 500
y = b - (d - b) / c * a
print(y)",180.0
1239,1,12센티미터보다 5밀리미터 더 긴 연필이 있습니다. 이 연필의 길이를 소수로 몇 센티미터인지 나타내시오.,"a = 12
b = 5 * 0.1
y = a + b
print(y)",12.5
542,7,"서점에 위인전이 554권, 소설책이 555권 있다면, 더 많은 것은 무엇일까요?","a = 554
b = 555
dicts = {'위인전': a, '소설책': b}
y = max(dicts, key=dicts.get)
print(y)",소설책
2518,4,"숫자 57, 46, 29, 82 중에서, 가장 큰 수와 가장 작은 수의 곱을 구하시오.","a = [57, 46, 29, 82]
y = max(a) * min(a)
print(y)",2378
1327,2,"학교에서 국어, 수학, 영어, 과학, 사회의 순서로 시험을 봤습니다. 두 번째로 시험을 본 과목은 무엇입니까?","a = ['국어', '수학', '영어', '과학', '사회']
b = 2
y = a[b - 1]
print(y)",수학
1023,8,가로의 길이가 22cm이고 세로의 길이가 A인 직사각형의 둘레가 90cm일 때 A를 구하세요.,"a = 22
b = 90
y = (b - a - a) / 2
print(y)",23.0
1043,1,"초콜릿 99개를 한 사람에게 11개씩 나누어 주려고 한다면, 초콜릿을 몇 명에게 나누어 줄 수 있는지 구해 보시오. ","a = 99
b = 11
y = a // b
print(y)",9
1383,4,"45, 11, 6, 4중 가장 큰 수와 가장 작은 수의 곱을 구해 보시오.","a = [45, 11, 6, 4]
b = max(a)
c = min(a)
y = b * c
print(y)",180
1271,5,다음 비례식 1:2 = 6:A을 만족하는 A를 구하시오.,"a = 1
b = 2
c = 6
y = b * c / a
print(y)",12.0
1590,1,"일정하게 물이 나오는 수도를 10분 동안 틀어 욕조에 30리터의 물을 받았다고하면, 1분 동안 받은 물의 양은 몇 리터 입니까?","a = 30
b = 10
y = a / b
print(y)",3.0
1006,8,"2미터인 철사로 한 변의 길이가 10센티미터인 정삼각형과 가로 길이 5센티미터, 세로 길이 6센티미터인 직사각형을 만들었다면, 남은 철사의 길이는 몇 센티미터인가요?","a = 200
b = 10
c = 5
d = 6
y = a - (b * 3 + 2 * (c + d))
print(y)",148
684,8,모서리가 32개인 각기둥의 꼭지점 개수를 구하세요.,"a = 32
b = a // 3
y = b * 2
print(y)",20
2024,1,"어느 비행기에 남자가 259명, 여자가 167명 타고 있습니다. 그중 어린이가 85명이고 나머지는 어른입니다. 비행기에 타고있는 어른은 몇 명인지 구하여 보세요.","a = 259
b = 167
c = 85
y = a + b - c
print(y)",341
1452,1,성규의 발 길이는 23cm입니다. 옷장의 짧은 쪽의 길이를 성규의 발로 재었더니 5번이었습니다. 옷장의 짧은 쪽의 길이는 몇 cm일까요?,"a = 23
b = 5
y = a * b
print(y)",115
58,1,두웅이는 460 원짜리 색연필 2 자루와 610 원짜리 포스트잇 3 개를 사고 3000원을 냈습니다. 두웅이가 받을 거스름돈은 얼마인지 답을 구하여라.,"a = 460
b = 2
c =610
d = 3
e = 3000
y = e - (a * b + c * d)
print(y)",250
254,1,공도는 매실주스를 매일 0.7L씩 마십니다. 공도가 9일 동안 마실 매실주스를 준비하려면 1L짜리 매실주스를 적어도 몇 개 사야 할까요?,"import math

a = 0.7
b = 9
y = math.ceil(b * a)
print(y)",7
1613,8,"가로가 2센티미터, 세로가 5센티미터인 직사각형의 네 변의 길이의 합은 몇 센티미터입니까?","a = 2
b = 5
y = (a + b) * 2
print(y)",14
1296,8,"가로가 9cm, 세로가 6cm인 직사각형이 있습니다. 이 직사각형의 둘레는 세로 길이의 몇 배인가요?","a = 9
b = 6
y = (a + b) * 2 / b
print(y)",5.0
831,1,동진이네 반 학생 48명에게 연필을 5자루씩 나누어 주려고 합니다. 연필을 12자루씩 묶음으로만 판다면 최소 몇 묶음을 사야 하는지 구해 보세요.,"import math

a = 48
b = 5
c = 12
y = math.ceil((a * b) / c)
print(y)",20
2347,8,한 변의 길이가 15센티미터인 정사각형이 있습니다. 이 정사각형의 둘레를 구하세요.,"a = 15
b = 4
y = a * b
print(y)",60
900,7,"세진이는 하루 24시간 중에서 1/6만큼, 현진이는 2/9만큼 비행기를 탔습니다. 누가 더 오래 비행기를 탔을까요?","a = 24
b = 1/6
c = 2/9
dict = {'세진' : a * b, '현진' : a * c}
y = max(dict, key=dict.get)
print(y)",현진
2384,8,한 변의 길이가 37cm인 정사각형이 있습니다. 이 정사각형의 넓이는 몇 cm²입니까?,"a = 37
b = 4
y = a * a
print(y)",1369
2549,2,"총 30명의 학생이 한 줄로 서있을때, 승철이의 앞에 9명의 학생이 있다면 승철이는 뒤에서 몇 번째에 서 있습니까?","a = 30
b = 9
y = a - b + 1
print(y)",22
1666,3,"4장의 숫자 카드 1, 8, 6, 2 중에서 2장을 골라 한 번씩만 사용하여 AB/2 와 같은 나눗셈식을 만들려고 합니다. 만든 나눗셈의 몫이 가장 작을 때의 몫을 구하시오.","from itertools import permutations

a = ['1', '8', '6', '2']
b = int(min(map(''.join, permutations(a, 2))))
c = 2
y = b // c
print(y)",6
1406,7,"윤아와 한서의 자유형 100 미터 기록은 각각 윤아 150초, 한서는 2분 10초 입니다. 누가 더 빠른지 구하세요.","a = 150
b = (2 * 60) + 10
dicts = {'윤아': a, '한서': b}
y = min(dicts, key=dicts.get)
print(y)",한서
108,1,어떤 식료품점에서는 20개에 25000원 하는 석류를 사와서 한 상자에 8개씩 담아 15000 원에 팔았습니다. 식료품점에서 석류를 팔아 얻은 수익이 52000 원이라면 판 석류는 모두 몇 상자입니까?,"from math import ceil

a = 20
b = 25000
c = 8
d = 15000
e = 52000
y = ceil((e / ((d / c) - (b / a))) / c)
print(y)",11
2659,8,한 변의 길이가 9cm인 정칠각형과 한 변의 길이가 2cm인 정십각형의 둘레의 합을 구해보시오.,"a = 9
b = 7
c = 2
d = 10
y = a * b + c * d
print(y)",83
1378,8,"넓이가 25cm², 윗변이 2cm, 밑변이 8cm인 사다리꼴이 있습니다. 이 사다리꼴의 높이는 몇 cm인가요?","a = 25
b = 2
c = 8
y = (a * 2) / (b + c)
print(y)",5.0
0,8,한 변의 길이가 24cm인 정육각형과 둘레가 같은 정팔각형이 있습니다. 이 정팔각형의 한 변의 길이는 몇 cm인지 구하시오.,"a = 24
b = 6
c = 8
y = a * b / c
print(y)",18.0
1114,1,"인스타그램에서 퀴즈 대회가 열렸습니다. 퀴즈 대회의 참가 인원은 350명입니다. 첫 번째 문제에서 전체의 2/5가 탈락했고, 두 번째 문제에서 남아 있는 사람의 1/3가 탈락했습니다. 세번째 문제를 풀 수 있는 사람은 몇 명일까요?","a = 350
b = 2/5
c = 1/3
y = int(a * (1 - b) * (1 - c))
print(y)",140
788,8,"한변이 6m, 다른 변이 300cm인 직사각형과 밑변이 2m, 높이가 4m인 삼각형이 있습니다. 두 도형의 넓이의 차는 몇 cm²인지 구하시오.","a = 6 * 100
b = 300
c = 2 * 100
d = 4 * 100
y = abs(a * b - c * d / 2)
print(y)",140000.0
521,4,"들이 10L, 9L 600mL, 4050mL가 있습니다. 가장 많은 들이와 가장 적은 들이의 합은 몇 mL인지 구하시오.","a = [10000, 9600, 4050]
y = max(a) + min(a)
print(y)",14050
2784,5,6300 - □ - 6400 규칙적인 수의 배열에서 □에 알맞은 수를 구해 보시오.,"a = 6300
b = 6400
c = a - b
y = b + c / 2
print(y)",6350.0
2696,7,"연필 4개의 무개와 지우개 5개의 무게가 같다고 하면, 1개의 무게가 더 무거운 것은 무엇인가요?","a = 4
b = 5
c = 1
d = c * (a/b)
dict = {'연필':c, '지우개': d}
y = max(dict, key=dict.get)
print(y)",연필
2302,1,"화성에서 몸무게는 지구의 1/8입니다. 만약 70kg인 서진이가 화성에 간다면, 서진이는 몇 kg 입니까?","a = 1/8
b = 70
y = a * b
print(y)",8.75
338,1,분필이 한 상자에 12개씩 들어 있습니다. 50상자에 들어 있는 분필은 모두 몇 개입니까?,"a = 12
b = 50
y = a * b
print(y)",600
1672,1,설탕 54.63kg을 한 봉지에 1.31kg씩 담아 팔려고 합니다. 설탕을 남김없이 봉지에 담아 모두 팔려면 설탕은 적어도 몇 kg 더 필요한지 구해 보세요.,"from math import ceil

a = 54.63
b = 1.31
c = ceil(a / b)
y = b * c - a
print(y)",0.39000000000000057
262,1,마카롱이 한 상자에 4개씩 10줄로 놓여 있습니다. 이 초콜릿을 학생 8명에게 4개씩 나누어 주면 몇 개가 남습니까?,"a = 4
b = 10
c = 8
d = 4
y = (a * b) - (c * d)
print(y)",8
49,8,원 안에 마름모의 넓이가 90cm²일 때 원의 반지름은 몇 cm일까요?,"a = 90
y = (a * 2) ** (1 / 2) / 2
print(y)",6.708203932499369
2198,8,길이가 88센티미터 인 끈으로 만든 가장 큰 정사각형 한 변의 길이는 몇 센티미터 입니까?,"a = 88
b = 4
y = a / b
print(y)",22.0
2676,1,색연필 64자루를 4명에게 똑같이 나누어 주었습니다. 한 명에게 색연필을 몇 자루씩 나누어 주었을까요?,"a = 64
b = 4
y = a // b
print(y)",16
1734,1,"수제 사탕 공장에서 오늘 사탕을 10000개 생산했습니다. 이 사탕들을 한 봉지에 50개씩 180봉지에 담았을때, 남은 봉지에 담고 남은 사탕의 개수는 몇 개입니까?","a = 10000
b = 50
c = 180
y = a - b * c
print(y)",1000
2426,8,한 변의 길이가 6m인 정사각형 모양의 땅이 있습니다. 이땅을 가로는 1.2배로 세로는 1.4배로 늘렸다면 새로운 땅의 넓이는 몇 m²인가요?,"a = 6
b = 1.2
c = 1.4
y = a * b * a * c
print(y)",60.47999999999999
1369,3,"4장의 숫자 카드 2, 4, 5, 6를 한 번씩 모두 사용하여 두 자리수 두개의 곱을 구하려고 합니다. 가장 큰 곱과 가장 작은 곱의 합을 구하시오.","from itertools import permutations

a = ['2', '4', '5', '6']
b = list(map(''.join, permutations(a)))
c = []
for i in b:
    d = int(i[:2])
    e = int(i[2:])
    c.append(d * e)
y = max(c) + min(c)
print(y)",4498
394,1,"주스 12.8리터를 4명이 똑같이 나누어 마시려고 한다면, 한 사람이 몇 리터씩 마실 수 있을까요?","a = 12.8
b = 4
y = a / b
print(y)",3.2
2753,1,어항의 들이는 물통의 들이의 2배입니다. 물통에 물을 가득 채우려면 바가지에 물을 가득 채워 8번 부어야 합니다. 어항에 물을 가득 채우려면 바가지로 총 몇 번 부어야 할까요?,"a = 2
b = 8
y = a * b
print(y)",16
1213,3,1부터 9까지의 자연수 중에서 다음 식 50－9÷3＋40＞A 을 만족하는 수는 모두 몇 개인가요?,"a = 50 - (9/3) + 40
b = 1
c = 9
y = 0
for i in range(b, c + 1):
    if i < a:
        y += 1
print(y)",9
2656,1,"선호는 크리스마스 트리에 장식을 사려고 합니다. 그 장식은 9800원인데, 1000원짜리 지폐로 이 물건의 값을 지불하려면, 최소 얼마의 금액을 내야하는지 구해보시오.","import math

a = 9800
b = 1000
y = math.ceil(a / b) * b
print(y)",10000
2788,5,"다음 식 A * 3 = 9, 1 * B = 23 을 만족하는 A와 B의 차는 얼마인가요?","a = 3
b = 9
c = 1
d = 23
y = abs((b / a) - (d / c))
print(y)",20.0
2525,1,비누 1 개를 만드는 데 폐식용유 1/18L가 필요합니다. 폐식용유 5/6L로는 비누를 몇 개 만들 수 있을까요?,"a = 1
b = 1/18
c = 5/6
y = int(a * c / b)
print(y)",15
1557,7,"현희는 전체 케이크의 2/9, 유빈이는 1/8 나머지는 세민이가 먹었습니다. 케이크를 가장 많이 먹은 사람은 누구입니까?","a = 2 / 9
b = 1 / 8
c = 1 - (a + b)
dicts = {'현희': a, '유빈': b, '세민': c}
y = max(dicts, key=dicts.get)
print(y)",세민
202,1,"웨딩케이크는 결혼을 할 때 쓰이는 케이크로 잘 알려져 있다.  그 규모가 높이는 4.25m, 밑면의 지름은 0.25m로 쉬폰케이크를 1단으로 쌓아 만들었습니다. 웨딩케이크의  높이는 밑면의 지름의 몇 배일까요?","a = 4.25
b = 0.25
y = a / b
print(y)",17.0
2210,1,민수는 빵집에서 1200원짜리 빵을 8개 사고 10000원을 냈습니다. 민수는 거스름돈을 얼마 받았습니까?,"a = 1200
b = 8
c = 10000
y = c - a * b
print(y)",400
576,1,"5/6, 1/9, 5/8이 있을 때, 세 수의 곱을 구해보시오.","a = 5/6
b = 1/9
c = 5/8
y = a * b * c
print(y)",0.057870370370370364
1323,1,첼로는 바닥에 내려 놓고 6줄로 연주하는 현악기입니다. 첼로가  8대 있다면 줄은 모두 몇 개일까요?,"a = 6
b = 8
y = a * b
print(y)",48
1972,3,"숫자 카드 2, 4, 6, 8, 5를 모두 한 번씩만 사용하여 만들 수 있는 가장 큰 수는 무엇인가요?","a = [2, 4, 6, 8, 5]
a.sort(reverse=True)
b = list(map(str, a))
y = """".join(b)
print(y)",86542
121,8,원 안에 그릴 수 있는 넓이가 8cm²인 가장 큰 마름모를 그렸습니다. 원의 반지름은 몇 cm일까요?,"a = 8
y = (a * 2) ** (1 / 2) / 2
print(y)",2.0
177,3,1부터 9까지의 자연수 중에서 다음 식 17－80÷5＋3＞A를 만족하는 수는 모두 몇 개일까요?,"a = 17 - 80/5 + 3
b = 1
c = 9
y = 0
for i in range(b, c + 1):
    if i < a:
        y += 1
print(y)",3
174,4,"수 21, 40, 50 중에서 2개를 골라 곱한 값이 2000이라고 한다면, 두 수 중 더 작은 값은 얼마인가요?","from itertools import combinations

a = [21, 40, 50]
b = 2000
c = list(combinations(a, 2))
for i in c:
    if i[0] * i[1] == b:
        y = min(i[0], i[1])
        break
print(y)",40
1864,1,라일락 24 송이로 꽃바구니를 3개 만들 수 있습니다. 똑같은 꽃바구니를 50 개 만들려면 라일락은 모두 몇 송이 필요할까요?,"a = 24
b = 3
c = 50
y = a / b * c
print(y)",400.0
2618,6,어떤 수에 12를 더해야 하는데 잘못하여 2를 곱했더니 56이 되었습니다. 바르게 계산하면 얼마입니까?,"a = 12
b = 2
c = 56
y = c / b + a
print(y)",40.0
2114,3,"1부터 30까지 자연수를 쓰려고 할때, 숫자 2은 모두 몇 번 써야 합니까?","a = 1
b = 30
c = '2'
y = 0
for i in range(a, b + 1):
    y += str(i).count(c)
print(y)",13
2779,4,"승호네 그룹의 멀리뛰기 기록은 승호 123 cm, 명수 111 cm,예슬 135 cm입니다. 가장 멀리 뛴 학생과 가장 가깝게 뛴 학생의 거리의 차는 몇 cm입니까?","a = [123, 111, 135]
y = max(a) - min(a)
print(y)",24
1265,1,"지하철에 승객이 500명 타고 있었습니다. 이번 역에서 100명이 내렸고, 300명이 탔습니다. 현재 지하철에는 몇 명의 승객이 타고 있을까요?","a = 500
b = 100
c = 300
y = a - b + c
print(y)",700
232,1,사슴과 토끼의 다리 수는 4개입니다.  수를 세어 보니 모두 52 개였습니다. 사슴이  5마리라면 토끼는 몇 마리일까요?,"a = 4
b = 52
c = 5
y = (b - c * a) // a
print(y)",8
2260,4,"숫자 12, 4, 48, 124중에서, 가장 큰 수를 가장 작은 수로 나눈 몫을 구해 보세요.","a = [12, 4, 48, 124]
y = max(a) // min(a)
print(y)",31
735,4,"숫자 카드 1, 3, 5가 있습니다. 카드를 한 번씩만 사용하여 다음과 같은 등식 5 * A = B 을 만들려고 할 떄, A는 한자리 수라면, 두자리수 B는 얼마입니까?  ","from itertools import permutations

a = [1, 3, 5]
b = 5
c = list(permutations(a, 3))
for i in c:
    if b * i[0] == (i[1] * 10 + i[2]):
        y = i[1] * 10 + i[2]
print(y)",15
2463,8,한 변의 길이가 12센티미터인 정삼각형이 있습니다. 이 정삼각형의 둘레와 넓이를 더하면 얼마입니까?,"a = 12
b = 3
y = a * b + a * a * (3 ** 0.5 / 4) 
print(y)",98.35382907247958
769,1,붕어빵 75개를 한 명에게 5개씩 나누어 주려고 합니다. 붕어빵을 몇 명에게 나누어 줄 수 있을까요?,"a = 75
b = 5
y = a // b
print(y)
",15
2772,8,한 변의 길이가 88.88cm인 정팔각형과 둘레가 같은 정사각형의 한 변의 길이는 몇 cm인가요?,"a = 88.88
b = 8
c = 4
y = a * b / c
print(y)",177.76
1720,1,"어느 공장에서 문제집을 1 월에는 277 권, 2 월에는 425 권을 만들었습니다. 이 공장에서 1 월과 2 월 동안 만든 문제집은 모두 몇 권인지 계산해보시오.","a = 277
b = 425
y = a + b
print(y)",702
1759,1,"어느 화단의 가로의 길이는 27m 이고, 세로의 길이는 9m 라면, 가로의 길이는 세로의 길이의 몇 배입니까?","a = 27
b = 9
y = a / b
print(y)",3.0
